Trait,chr,region,rsID,95g,AMR,EAS,SAS,EUR,AFR
Obesity-related_traits,4,137661557,rs17049741,0.210526,0.1772,0.4444,0.2924,0.1779,0.0076
Obesity-related_traits,9,88645647,rs17054265,0.0736842,0.1916,0.0079,0.2372,0.2455,0.4652
Hip_circumference_(psychosocial_stress_interaction),5,158825430,rs17056278,0.105263,0.0778,0.0933,0.0583,0.0716,0.0038
Glucose_homeostasis_traits,9,75193603,rs17060946,0.0315789,0.0836,0.0079,0.0552,0.0964,0.3245
Obesity-related_traits,13,42996665,rs17064002,0.0105263,0.0043,0.0605,0.1155,0.002,0.0552
Obesity-related_traits,13,21241730,rs17064136,0.0105263,0.0418,0,0.0644,0.0596,0.2595
Response_to_hepatitis_C_treatment,4,179127208,rs17067123,0.663158,0.2695,0.4117,0.2464,0.1064,0.149
Cognitive_performance,13,78785289,rs17070284,0.505263,0.1787,0.0903,0.091,0.1083,0.2012
Immune_response_to_smallpox_vaccine_(IL-6),8,4442361,rs17070309,0.368421,0.2017,0.3899,0.3006,0.159,0.1233
Trans_fatty_acid_levels,5,142715685,rs17099388,0.378947,0.1441,0.4901,0.2229,0.0477,0.2829
Obesity-related_traits,14,71727684,rs17100926,0.0105263,0.0663,0.0585,0.0675,0.1004,0.1324
Obesity-related_traits,14,65138010,rs17102423,0.126316,0.2133,0.2123,0.3374,0.3588,0.5356
Obesity-related_traits,14,67472766,rs17104363,0.0105263,0.0908,0.1409,0.1155,0.1431,0.0908
Obesity-related_traits,10,100306428,rs17112901,0.242105,0.183,0.1171,0.1524,0.1213,0.323
Cognitive_performance,14,50617517,rs17122693,0.0315789,0.1196,0.0665,0.0644,0.1312,0.3336
Obesity-related_traits,14,88906407,rs17124955,0.221053,0.0893,0.1597,0.0307,0.0139,0.261
Obesity-related_traits,14,54656200,rs17127713,0.0210526,0.0533,0,0.0051,0.0288,0.1233
Allergic_rhinitis,10,4766883,rs17133587,0.821053,0.3285,0.2014,0.183,0.2207,0.0174
Obesity-related_traits,6,4379277,rs17138114,0.652632,0.1945,0.1458,0.0613,0.0805,0.0764
Obesity-related_traits,7,19208655,rs17140875,0.157895,0.0605,0.1131,0.138,0.0437,0.003
Obesity-related_traits,10,10042603,rs17147135,0.0210526,0.0879,0.1071,0.1677,0.1183,0.1891
Obesity-related_traits,11,56252449,rs17150243,0.547368,0.0533,0.0992,0.0041,0,0.0008
Allergic_rhinitis_in_non-asthmatics,5,125252465,rs17152484,0.410526,0.1542,0.3452,0.3681,0.1789,0.0083
Obesity-related_traits,7,29922908,rs17158483,0.589474,0.1888,0.001,0.046,0.0706,0.0068
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_1_peripheral_neuropathy),7,134805711,rs17169635,0.778947,0.5793,0.9286,0.499,0.669,0.6142
Prostate_cancer,3,87124174,rs17181170,0.526316,0.3847,0.2837,0.3507,0.497,0.1536
Asthma_(childhood_onset),4,58347679,rs17218161,0.147368,0.0159,0.0625,0.002,0.001,0
Obesity-related_traits,11,73766000,rs1723838,0.0315789,0.0461,0,0.0235,0.0726,0.1815
Cognitive_performance,2,230555686,rs17275498,0.0631579,0.0836,0.0139,0.0879,0.1243,0.0688
Obesity-related_traits,13,21340975,rs17356983,0.126316,0.1744,0.002,0.1636,0.2594,0.3033
Obesity-related_traits,21,20448096,rs1735884,0.947368,0.8141,0.869,0.7198,0.7803,0.7118
Obesity-related_traits,1,22173037,rs17360053,0.221053,0.2118,0.2103,0.3016,0.3549,0.1551
Obesity-related_traits,8,3459464,rs17394429,0.0315789,0.0865,0.2262,0.1881,0.1471,0.115
Triglycerides,8,19990569,rs17410962,0.0210526,0.0922,0.119,0.093,0.164,0.23
Obesity-related_traits,2,184571535,rs17430279,0.0315789,0.1527,0.1746,0.3701,0.2346,0.1944
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),7,26954548,rs17436410,0.284211,0.2046,0.12,0.2239,0.2962,0.0121
Obesity-related_traits,11,15599040,rs17439299,0.0210526,0.0706,0.0704,0.1401,0.1252,0.093
Response_to_amphetamines,15,37157418,rs17439560,0.126316,0.0836,0.0179,0.0399,0.0765,0.1006
Trans_fatty_acid_levels,11,61872101,rs174448,0.305263,0.379,0.6974,0.6503,0.6163,0.5764
Trans_fatty_acid_levels,11,61872907,rs174449,0.294737,0.3689,0.6806,0.5757,0.6193,0.3427
Trans_fatty_acid_levels,11,61776027,rs174528,1,0.6354,0.5724,0.1718,0.3877,0.4516
Trans_fatty_acid_levels,11,61781986,rs174534,1,0.5865,0.5585,0.1309,0.3469,0.0227
Trans_fatty_acid_levels,11,61783884,rs174535,1,0.6037,0.5694,0.1626,0.3549,0.1467
Trans_fatty_acid_levels,11,61784455,rs174536,1,0.5908,0.5675,0.1677,0.3499,0.0257
Trans_fatty_acid_levels,11,61792609,rs174538,1,0.572,0.5556,0.1166,0.3131,0.0204
Trans_fatty_acid_levels,11,61798436,rs174541,1,0.5922,0.5685,0.1411,0.3698,0.0219
Trans_fatty_acid_levels,11,61801834,rs174545,1,0.5879,0.5665,0.138,0.3469,0.0219
Trans_fatty_acid_levels,11,61802358,rs174546,1,0.5865,0.5665,0.137,0.3469,0.0219
Trans_fatty_acid_levels,11,61803311,rs174547,1,0.5879,0.5665,0.137,0.3469,0.0227
Trans_fatty_acid_levels,11,61803876,rs174548,0.484211,0.5893,0.5476,0.1288,0.3141,0.1785
Trans_fatty_acid_levels,11,61803910,rs174549,0.115789,0.5692,0.5476,0.1268,0.3042,0.0204
Trans_fatty_acid_levels,11,61804006,rs174550,0.989474,0.5879,0.5665,0.137,0.3469,0.0219
Trans_fatty_acid_levels,11,61812288,rs174555,1,0.5677,0.5466,0.1268,0.3032,0.0197
Trans_fatty_acid_levels,11,61813163,rs174556,1,0.5677,0.5466,0.1268,0.3032,0.0197
Trans_fatty_acid_levels,11,61829740,rs174570,0.989474,0.487,0.5556,0.0736,0.16,0.0091
Trans_fatty_acid_levels,11,61832870,rs174574,0.115789,0.3602,0.4325,0.8599,0.6382,0.3669
Trans_fatty_acid_levels,11,61834531,rs174575,0.589474,0.3617,0.1657,0.0982,0.2555,0.2095
Trans_fatty_acid_levels,11,61836038,rs174576,1,0.611,0.5685,0.1411,0.3579,0.2458
Trans_fatty_acid_levels,11,61837342,rs174577,0.852632,0.621,0.5685,0.1401,0.3608,0.3464
Trans_fatty_acid_levels,11,61838027,rs174578,1,0.621,0.5685,0.1411,0.3628,0.3487
Trans_fatty_acid_levels,11,61842278,rs174583,1,0.6124,0.5804,0.1544,0.3628,0.2421
Trans_fatty_acid_levels,11,61855668,rs174601,1,0.6542,0.5804,0.2178,0.3877,0.6233
Obesity-related_traits,5,125513213,rs17468244,0.263158,0.1254,0.0486,0.1145,0.1153,0.0068
Obesity-related_traits,17,61245682,rs17513268,0.0210526,0.0591,0.001,0.091,0.1282,0.1248
Breast_cancer,6,81483392,rs17530068,0.336842,0.2392,0.247,0.184,0.2346,0.0363
Bronchopulmonary_dysplasia,2,12112224,rs17551536,0.231579,0.1138,0.0089,0.2065,0.161,0.2678
Obesity-related_traits,9,17979580,rs1755271,0.284211,0.6412,0.9147,0.5818,0.5736,0.2542
Cognitive_performance,5,2335467,rs17586674,0.526316,0.3646,0.372,0.4622,0.4423,0.2587
Prostate_cancer,1,150685811,rs17599629,0.442105,0.1844,0.0883,0.092,0.1978,0.0424
Obesity-related_traits,15,93271900,rs17612678,0.231579,0.2939,0.0437,0.1973,0.4135,0.0234
Obesity-related_traits,5,16913746,rs17614462,0.0210526,0.0447,0.003,0.0276,0.0795,0.0461
Body_mass_index_(interaction),6,134223595,rs1763500,0.810526,0.9207,0.999,0.9969,0.9463,0.7557
Obesity-related_traits,4,166422787,rs17635075,0.0631579,0.0749,0.2083,0.2035,0.0577,0.1717
Preeclampsia,2,105261413,rs17636747,0.0105263,0.0187,0,0.0092,0.0308,0.0008
Cognitive_performance,19,12114557,rs17638629,0.526316,0.1254,0,0.0235,0.0457,0.0015
Response_to_amphetamines,4,44210148,rs17641529,0.442105,0.2291,0.2827,0.3313,0.1988,0.2806
Obesity-related_traits,5,92818872,rs17668565,0.515789,0.4524,0.2202,0.4151,0.5189,0.2769
Prostate_cancer,9,22041999,rs17694493,0.0210526,0.0663,0.0139,0.0501,0.1302,0.1112
Obesity-related_traits,1,82299369,rs1770678,0.126316,0.0879,0.0496,0.0153,0.0726,0.1891
Cognitive_performance,14,50506914,rs17718580,0.0105263,0.0605,0.001,0.0337,0.0994,0.0144
Response_to_efavirenz-containing_treatment_in_HIV_1_infection_(virologic_failure),8,11472832,rs17742757,0.168421,0.6196,0.9633,0.4387,0.492,0.1687
Prostate_cancer,1,205788696,rs1775148,0.168421,0.4251,0.5089,0.6125,0.6372,0.2995
Urinary_symptoms_in_response_to_radiotherapy_in_prostate_cancer,9,27488094,rs17779457,0.757895,0.3127,0.3274,0.274,0.2356,0.2398
Preeclampsia,3,149532802,rs17787940,0.157895,0.0735,0.0615,0.0665,0.0964,0.0136
Obesity-related_traits,18,49594946,rs17798991,0.673684,0.3401,0.4117,0.2106,0.3022,0.2587
Obesity-related_traits,17,33066684,rs17808461,0.105263,0.1412,0.2024,0.2904,0.2575,0.1407
Glucose_homeostasis_traits,11,73648191,rs1784499,0.0105263,0.0504,0,0,0.005,0.4418
Obesity-related_traits,20,62860142,rs17854409,0.0947368,0.0821,0.1538,0.0746,0.0924,0.2216
Obesity-related_traits,12,58356897,rs1795708,0.0736842,0.2262,0.3155,0.3384,0.3449,0.298
Fibrinogen,4,154561591,rs1800789,0.178947,0.1542,0.2222,0.1401,0.2167,0.0908
C-reactive_protein,20,44413724,rs1800961,0.210526,0.0548,0.0159,0.0286,0.0368,0.0008
C-reactive_protein,1,65636574,rs1805096,0.884211,0.4841,0.869,0.4775,0.3797,0.4478
Obesity-related_traits,13,24406811,rs1816752,0.389474,0.3184,0.2927,0.2434,0.4006,0.264
Fractional_exhaled_nitric_oxide_(childhood),3,54766289,rs1820616,1,0.9496,0.6012,0.862,0.9463,0.9455
Obesity-related_traits,2,191253321,rs1823913,0.957895,0.6023,0.6478,0.5654,0.667,0.1036
Asthma,5,111066174,rs1837253,0.863158,0.732,0.3938,0.5399,0.7475,0.6876
Prostate_cancer,17,71112612,rs1859962,1,0.4409,0.629,0.4724,0.5169,0.7247
Obesity-related_traits,16,86647425,rs1867485,0.957895,0.5994,0.6974,0.6043,0.4245,0.6997
Response_to_amphetamines,17,12144227,rs1870584,0.684211,0.4481,0.6131,0.4274,0.4135,0.3472
Obesity-related_traits,8,139985033,rs1870805,0.989474,0.6427,0.5853,0.6472,0.5944,0.5673
Waist-to-hip_circumference_ratio_(interaction),19,44823511,rs1871045,0.568421,0.3473,0.4712,0.4683,0.3618,0.4281
Bone_mineral_density,6,151577371,rs1871859,0.610526,0.3026,0.5228,0.2618,0.159,0.2073
Cognitive_performance,2,18953470,rs1876040,0.126316,0.0591,0.3988,0.2382,0.0388,0.0023
Obesity-related_traits,17,11439291,rs1877644,0.547368,0.2233,0.0605,0.3517,0.1561,0.5461
Glucose_homeostasis_traits,1,84884975,rs1886644,0.873684,0.7133,0.995,0.7025,0.7406,0.733
Obesity-related_traits,9,7274696,rs1887867,0.726316,0.3833,0.7659,0.4683,0.3151,0.3956
Glucose_homeostasis_traits,9,115016076,rs1888221,0.8,0.7421,0.6329,0.6493,0.7694,0.9516
Obesity-related_traits,10,71036120,rs1891159,0.463158,0.5447,0.62,0.5961,0.6968,0.7095
Cognitive_performance,1,147754660,rs1891498,0.978947,0.8847,0.9177,0.9693,0.7664,0.9349
Obesity-related_traits,18,905124,rs1893154,0.726316,0.6715,0.9058,0.773,0.7853,0.643
Allergic_rhinitis,11,74688380,rs1893361,0.789474,0.3285,0.0813,0.1012,0.172,0.2602
Obesity-related_traits,11,124085759,rs1893767,0.231579,0.1282,0.2599,0.0879,0.0706,0.3351
Glucose_homeostasis_traits,5,125220154,rs1898910,0.326316,0.1398,0.0843,0.1155,0.16,0.0915
Obesity-related_traits,8,95503660,rs1909881,0.0526316,0.0951,0.1885,0.138,0.1312,0.1694
Bronchopulmonary_dysplasia,8,113861151,rs1912816,0.421053,0.3026,0.248,0.3354,0.2714,0.6679
Obesity-related_traits,3,146170670,rs1913185,0.505263,0.1772,0.2649,0.1299,0.1541,0.1188
Response_to_abacavir-containing_treatment_in_HIV-1_infection_(virologic_failure),4,63448265,rs1913633,0.589474,0.2867,0.1101,0.2106,0.2207,0.0303
Immune_response_to_smallpox_vaccine_(IL-6),10,95037713,rs1934953,0.231579,0.487,0.4534,0.6697,0.6869,0.8162
Glucose_homeostasis_traits,5,122917609,rs193541,1,0.7248,0.6339,0.5992,0.6074,0.7322
Fibrinogen,1,65652146,rs1938492,0.863158,0.4841,0.869,0.4765,0.3797,0.4531
Immune_response_to_smallpox_vaccine_(IL-6),18,12550748,rs1940973,0.0105263,0.0778,0.0099,0.1329,0.1332,0.0197
Obesity-related_traits,7,139858148,rs194151,0.631579,0.4813,0.5526,0.3436,0.5567,0.1679
Obesity-related_traits,11,83165228,rs1943345,0.557895,0.2695,0.5387,0.3845,0.2634,0.112
Obesity-related_traits,4,168417369,rs1963569,0.842105,0.5692,0.747,0.6462,0.492,0.2784
Glucose_homeostasis_traits,6,79437470,rs196701,0.778947,0.8631,0.8254,0.8344,0.9324,0.9523
Glucose_homeostasis_traits,2,43144403,rs1978648,0.831579,0.6931,0.755,0.8579,0.7445,0.9107
Obesity-related_traits,17,70831948,rs1990193,0.884211,0.6167,0.7321,0.4734,0.4811,0.4826
Obesity-related_traits,2,235220307,rs1991705,0.884211,0.8213,0.998,0.8937,0.9235,0.7284
Obesity-related_traits,20,15196934,rs199307,0.326316,0.2507,0.0952,0.3129,0.2256,0.6543
Obesity-related_traits,14,94491377,rs1998207,0.189474,0.2968,0.4375,0.4489,0.2634,0.4644
Body_mass_index_(change_over_time),1,181621722,rs199950,0.915789,0.745,0.9345,0.5859,0.8032,0.4523
Cognitive_performance,8,11419033,rs2002030,0.0210526,0.0461,0.0248,0.18,0.0656,0.2428
Obesity-related_traits,6,35088666,rs2005,1,0.9179,0.6835,0.863,0.8956,0.8759
Obesity-related_traits,4,66435084,rs2009314,0.378947,0.2911,0.2847,0.2127,0.2147,0.6286
Obesity-related_traits,17,20119786,rs2013441,0.421053,0.3329,0.0139,0.1963,0.4294,0.0287
Fractional_exhaled_nitric_oxide_(childhood),8,13201165,rs2016444,0.578947,0.2262,0.3056,0.0746,0.0199,0.2753
Obesity-related_traits,7,43118878,rs2024125,0.842105,0.513,0.744,0.5593,0.4891,0.6558
Obesity-related_traits,9,109834631,rs2025875,0.989474,0.8285,0.8145,0.8262,0.7634,0.9781
Obesity-related_traits,15,24888839,rs2030062,0.0105263,0.1354,0.0069,0.1534,0.2555,0.1679
Obesity-related_traits,18,61599138,rs2032366,0.578947,0.5749,0.5595,0.455,0.6262,0.7088
Obesity-related_traits,13,107832106,rs2036707,0.326316,0.1657,0.2232,0.1135,0.0915,0.3434
Obesity-related_traits,20,53652456,rs2041278,0.694737,0.5144,0.7123,0.4918,0.6948,0.2648
Obesity-related_traits,16,74944720,rs2042415,0.442105,0.1297,0.3313,0.1779,0.0726,0.0015
Obesity-related_traits,5,38955694,rs2043112,0.610526,0.3631,0.4494,0.3436,0.4284,0.2648
Obesity-related_traits,11,21655796,rs2051457,0.263158,0.085,0.1409,0.1186,0.004,0.2201
Cognitive_performance,12,3804261,rs2058350,0.831579,0.3631,0.3452,0.3947,0.1968,0.2693
Glucose_homeostasis_traits,6,8998578,rs2064197,0.252632,0.2017,0.2708,0.1176,0.2097,0.2171
Response_to_amphetamines,9,130872696,rs2070997,0.357895,0.1715,0.0754,0.0879,0.1153,0.1974
Obesity-related_traits,22,35381625,rs2071748,0.2,0.2911,0.4891,0.5429,0.3817,0.6407
Trans_fatty_acid_levels,11,61837743,rs2072114,0.8,0.2795,0.4167,0.0613,0.1501,0.1142
Alzheimer's_disease,19,44892362,rs2075650,0.147368,0.1052,0.0972,0.1247,0.1312,0.1309
Obesity-related_traits,1,183389270,rs2078087,0.336842,0.1816,0.245,0.2638,0.0964,0.2648
Obesity-related_traits,10,26144437,rs2096176,0.6,0.379,0.3522,0.4571,0.4423,0.3533
Fibrinogen,5,132433482,rs2106854,0.326316,0.1556,0.3284,0.4366,0.2008,0.267
Obesity-related_traits,6,135219242,rs210937,0.421053,0.3991,0.5099,0.5153,0.499,0.9455
Obesity-related_traits,2,169767711,rs2114646,0.926316,0.428,0.4335,0.3088,0.2107,0.0151
Trans_fatty_acid_levels,4,89269664,rs2116324,0.326316,0.1499,0.2292,0.2188,0.1561,0.3843
Obesity-related_traits,11,83545825,rs2116483,0.505263,0.4611,0.5556,0.6626,0.66,0.7481
Obesity-related_traits,1,21328242,rs213032,0.557895,0.3228,0.3919,0.4202,0.2575,0.739
Response_to_anti-retroviral_therapy_(ddI/d4T)_in_HIV-1_infection_(Grade_3_peripheral_neuropathy),7,18464885,rs213273,1,0.9669,1,0.9335,0.9354,0.9871
Obesity-related_traits,2,63284300,rs2138798,0.284211,0.1931,0.6012,0.4121,0.1322,0.2821
Response_to_amphetamines,2,17807391,rs214034,1,0.7911,0.9871,0.907,0.6571,0.7451
Body_mass_index_(interaction),20,13167505,rs2144134,0.894737,0.5331,0.6429,0.6278,0.4433,0.4667
Allergic_rhinitis,1,55014701,rs2149039,0.947368,0.4798,0.3016,0.2301,0.2137,0.2489
Glucose_homeostasis_traits,13,36198244,rs2149423,0.989474,0.7075,0.6776,0.5695,0.6024,0.5582
Obesity-related_traits,10,28463177,rs2153299,0.757895,0.4741,0.505,0.6094,0.4573,0.3116
Fractional_exhaled_nitric_oxide_(childhood),18,72879235,rs2156107,1,0.9323,0.63,0.865,0.9513,0.761
Response_to_amphetamines,3,119027089,rs2160050,0.157895,0.1153,0.131,0.0859,0.1461,0.0961
Fractional_exhaled_nitric_oxide_(childhood),12,2639961,rs216026,1,0.8689,0.7827,0.7137,0.7863,0.6346
Obesity-related_traits,11,116776891,rs2160669,0.957895,0.8559,0.7589,0.8108,0.9066,0.9402
Fractional_exhaled_nitric_oxide_(childhood),8,107365673,rs2163870,0.431579,0.3012,0.4911,0.4121,0.3499,0.1725
Obesity-related_traits,10,4674350,rs2165953,1,0.8213,0.8859,0.8108,0.7604,0.4387
Trans_fatty_acid_levels,3,53716654,rs2169143,1,0.9251,1,0.8855,0.8658,0.8828
Obesity-related_traits,5,2724248,rs2173226,0.557895,0.3746,0.3155,0.4029,0.3588,0.6014
Trans_fatty_acid_levels,4,187698546,rs2174496,0.0315789,0.1138,0.1687,0.1738,0.0805,0.4402
Obesity-related_traits,2,7896129,rs2193071,0.0105263,0.0086,0,0,0,0.0862
Obesity-related_traits,12,61841052,rs2198776,0.326316,0.2738,0.3631,0.3712,0.4046,0.23
Obesity-related_traits,21,42082652,rs220299,0.957895,0.5836,0.6319,0.5286,0.665,0.323
Glucose_homeostasis_traits,6,20694653,rs2206734,0.284211,0.1816,0.3829,0.2556,0.175,0.2504
Obesity-related_traits,11,115431152,rs220836,0.989474,0.7867,0.8175,0.7945,0.7793,0.7481
Obesity-related_traits,9,102679835,rs2210533,1,0.866,0.999,0.9335,0.7654,0.848
Response_to_amphetamines,6,98489270,rs2213553,0.831579,0.3458,0.373,0.2444,0.1819,0.2118
Obesity-related_traits,8,126899351,rs2220321,0.484211,0.3934,0.4623,0.4591,0.4831,0.2821
Obesity-related_traits,8,28933642,rs2221894,0.968421,0.7133,0.7411,0.547,0.6451,0.5756
Fat_body_mass,1,150755063,rs2230061,0.684211,0.4366,0.3532,0.5511,0.3698,0.261
Response_to_amphetamines,1,18705778,rs2236824,0.494737,0.3804,0.2589,0.4928,0.4821,0.2209
Type_2_diabetes,11,2818521,rs2237892,0.768421,0.2781,0.3552,0.0143,0.0626,0.0893
Glucose_homeostasis_traits,11,2837316,rs2237897,0.757895,0.2723,0.3532,0.0133,0.0467,0.0809
Obesity-related_traits,15,92142548,rs2238355,0.189474,0.5173,0.4782,0.3671,0.3738,0.7617
Obesity-related_traits,11,20601477,rs2241941,0.463158,0.3199,0.3641,0.272,0.3489,0.326
Trans_fatty_acid_levels,13,53077993,rs2246208,0.947368,0.7017,0.8085,0.7434,0.6163,0.8079
Cognitive_performance,8,72720793,rs2247572,0.368421,0.1254,0.2302,0.2382,0.1402,0.4531
Obesity-related_traits,10,133538649,rs2249694,0.136842,0.745,0.5565,0.6217,0.7674,0.2398
HIV-1_control,6,31463914,rs2255221,0.0842105,0.1369,0.0198,0.002,0.0815,0.1664
C-reactive_protein,12,120997784,rs2259816,0.663158,0.3963,0.4752,0.5061,0.3787,0.1263
Trans_fatty_acid_levels,6,1785684,rs226444,0.884211,0.6282,0.8165,0.5818,0.5855,0.9228
Obesity-related_traits,21,33408744,rs2268241,0.557895,0.2061,0.4296,0.3252,0.1421,0.3949
Obesity-related_traits,12,53160499,rs2272306,0.442105,0.1614,0.1032,0.1022,0.1362,0.0159
Obesity-related_traits,20,6770442,rs2273074,0.0736842,0,0.002,0,0,0
Obesity-related_traits,6,17632830,rs2274136,0.631579,0.804,0.879,0.8661,0.8002,0.7421
Bone_mineral_density,14,69989982,rs227425,0.473684,0.5432,0.4286,0.3037,0.496,0.6384
Bronchopulmonary_dysplasia,3,195870036,rs2278034,0.515789,0.4697,0.1478,0.3712,0.5706,0.3086
Glucose_homeostasis_traits,3,9476827,rs2279440,0.484211,0.1945,0.0615,0.1155,0.1123,0.1899
Obesity-related_traits,10,99732646,rs2281636,0.926316,0.6527,0.3998,0.6728,0.5984,0.4455
Vitamin_D_levels,4,71742666,rs2282679,0.315789,0.2089,0.2609,0.2965,0.2465,0.0499
Breast_cancer,20,34000289,rs2284378,0.842105,0.6542,0.8333,0.8558,0.7078,0.8669
Fibrinogen,7,22816987,rs2286503,0.736842,0.4496,0.7976,0.5757,0.3748,0.7148
Cognitive_performance,6,89930772,rs2289577,0.0210526,0.0821,0.0903,0.0286,0.0974,0.1725
Obesity-related_traits,2,237590801,rs2292873,0.0315789,0.0648,0.1161,0.1002,0.1093,0.0666
Obesity-related_traits,6,33772248,rs2296743,0.578947,0.3084,0.7569,0.5573,0.3459,0.1543
Glucose_homeostasis_traits,19,3150420,rs2302063,0.252632,0.3256,0.378,0.4335,0.5308,0.4947
Post-traumatic_stress_disorder,1,166824980,rs2312236,1,0.9697,0.9831,0.8016,0.9085,0.997
Obesity-related_traits,20,63786984,rs2315656,0.884211,0.6182,0.7202,0.728,0.6461,0.5938
Response_to_amphetamines,13,69855961,rs2325244,0.0105263,0.0749,0.001,0.0256,0.1064,0.3162
Trans_fatty_acid_levels,1,158774270,rs2325694,0.557895,0.1859,0.1577,0.0225,0.0348,0.1233
Trans_fatty_acid_levels,1,158774441,rs2325695,0.557895,0.1787,0.1528,0.0225,0.0338,0.0613
Obesity-related_traits,4,175349734,rs2333163,0.0210526,0.0317,0,0.0031,0.001,0.2814
Glucose_homeostasis_traits,18,52430885,rs2339345,0.905263,0.6801,0.6577,0.5603,0.6203,0.2277
Cognitive_performance,21,43025182,rs234720,0.178947,0.2363,0.2411,0.3609,0.4324,0.4546
IgE_levels,3,67366681,rs2363709,0.821053,0.7911,0.9782,0.8845,0.9443,0.8812
HDL_cholesterol,7,80711306,rs2366858,0.989474,0.9899,1,1,1,0.764
Trans_fatty_acid_levels,4,187699597,rs2376264,0.0315789,0.1153,0.1687,0.1738,0.0805,0.444
Trans_fatty_acid_levels,4,187699755,rs2376265,0.0315789,0.1153,0.1687,0.1738,0.0805,0.441
Asthma,9,6193455,rs2381416,1,0.7925,0.9405,0.772,0.7435,0.3865
Obesity-related_traits,4,154074311,rs2404916,0.494737,0.3055,0.4861,0.5736,0.3131,0.4909
Obesity-related_traits,15,40042375,rs2412475,0.852632,0.4294,0.5774,0.274,0.2266,0.5053
Obesity-related_traits,9,118033712,rs2416604,0.747368,0.4942,0.624,0.6084,0.6362,0.2617
Obesity-related_traits,8,3630816,rs2449215,0.6,0.3487,0.625,0.4581,0.2416,0.6649
Obesity-related_traits,6,20109361,rs2457335,0.989474,0.7767,0.9534,0.8027,0.7207,0.7632
Obesity-related_traits,7,29178543,rs245914,0.189474,0.1715,0.127,0.1605,0.1561,0.1657
Trans_fatty_acid_levels,18,73002011,rs2469054,0.0105263,0.0375,0.003,0.0542,0.0179,0.1528
Allergic_rhinitis,9,104842226,rs2472448,0.4,0.1801,0.0377,0.1503,0.0944,0.1286
Obesity-related_traits,9,104769675,rs2472476,0.926316,0.7435,0.5218,0.5409,0.6133,0.7383
Asthma_(childhood_onset),6,113158133,rs2473967,0.926316,0.9568,0.8601,0.8221,0.9324,0.7716
HDL_cholesterol,16,56956804,rs247617,0.547368,0.3026,0.1746,0.319,0.2922,0.2648
Obesity-related_traits,13,24959693,rs2483374,0.378947,0.4121,0.2996,0.5491,0.501,0.6135
Cognitive_performance,10,24346027,rs2484873,0.673684,0.6571,0.7063,0.8998,0.9553,0.7474
Obesity-related_traits,1,12681229,rs2489260,0.0631579,0.1326,0.2946,0.1585,0.0845,0.5303
Cognitive_performance,6,92905732,rs2506933,0.778947,0.2983,0.124,0.0706,0.0616,0.6112
Obesity-related_traits,5,175355116,rs251925,0.852632,0.6902,0.37,0.5838,0.6909,0.8608
Obesity-related_traits,11,2287532,rs2521263,0.621053,0.7133,0.5139,0.8855,0.9175,0.6679
HIV-1_control,6,31359287,rs2523590,0.189474,0.2536,0.13,0.3282,0.3002,0.143
Trans_fatty_acid_levels,11,61837310,rs2524299,0.610526,0.2824,0.4147,0.0603,0.1521,0.1543
Trans_fatty_acid_levels,11,61856321,rs2526678,0.431579,0.1037,0.4177,0.0706,0.1064,0.0008
Obesity-related_traits,19,54109321,rs254262,0.589474,0.6254,0.6399,0.7035,0.7624,0.7194
Asthma_or_chronic_obstructive_pulmonary_disease,2,15780199,rs2544523,1,0.8689,0.8333,0.7618,0.6909,0.9531
Immune_response_to_smallpox_vaccine_(IL-6),5,54606509,rs2548621,1,0.9553,0.8988,0.9898,0.9841,0.6846
Asthma_(sex_interaction),5,132493605,rs2549003,0.863158,0.6398,0.6171,0.5644,0.6561,0.4418
Obesity-related_traits,8,3332374,rs2551043,0.157895,0.3112,0.3363,0.4796,0.5129,0.202
Immune_response_to_smallpox_vaccine_(IL-6),15,54576470,rs2553218,0.757895,0.5043,0.6677,0.6585,0.4483,0.9145
Body_mass_index_in_asthmatics,13,33224125,rs2555603,0.0315789,0.1455,0.1558,0.32,0.2753,0.1021
Obesity-related_traits,19,10688228,rs2569507,0.873684,0.5836,0.372,0.5654,0.4652,0.2481
Response_to_amphetamines,10,50359537,rs2574975,0.789474,0.3746,0.2222,0.4213,0.3419,0.236
Obesity-related_traits,8,31317314,rs2575029,0.884211,0.8372,0.9167,0.8405,0.8419,0.8328
Obesity-related_traits,20,54227260,rs2585417,0.378947,0.4251,0.3224,0.4121,0.5318,0.7753
Obesity-related_traits,13,69345267,rs2593525,0.989474,0.9942,1,1,1,0.944
Allergic_rhinitis_in_non-asthmatics,6,122095195,rs2606618,0.915789,0.353,0.3006,0.2658,0.1481,0.2179
Trans_fatty_acid_levels,3,53726024,rs2612034,1,0.9395,1,0.8896,0.8698,0.9939
Post-traumatic_stress_disorder,8,4620822,rs2616978,0.515789,0.4035,0.495,0.4898,0.3926,0.6725
Cognitive_performance,8,4625619,rs2616984,0.0842105,0.2291,0.004,0.1994,0.3171,0.2912
Trans_fatty_acid_levels,3,53712062,rs2633727,1,0.9337,1,0.8845,0.8678,0.9675
Obesity-related_traits,15,29132552,rs2636061,0.978947,0.9798,1,0.9959,0.999,0.7579
